Tuning,Root,Quality,Shape,Comfort Code,Comfort Code Explanation,Comments,Verified
gDGBD,Ab,Major,1111,3,Possible,Bar 1st fret,Yes
gDGBD,A,Major,2222,4,Difficult,Bar 2nd fret,Yes
gDGBD,A#,Major,2220,2,Comfortable,,Yes
gDGBD,Bb,Major,2220,2,Comfortable,,No
gDGBD,B,Major,4444,2,Comfortable,Bar 4th fret,No
gDGBD,C,Major,2012,1,Automatic,,Yes
gDGBD,C#,Major,3213,2,Comfortable,,No
gDGBD,Db,Major,3213,2,Comfortable,,No
gDGBD,D,Major,0234,1,Automatic,Upramp Starting on 4,Yes
gDGBD,D#,Major,5345,2,Comfortable,Upramp Starting on 5,No
gDGBD,Eb,Major,5345,2,Comfortable,Upramp Starting on 5,No
gDGBD,E,Major,2102,2,Comfortable,,Yes
gDGBD,F,Major,3213,2,Comfortable,Downramp Starting on 3,Yes
gDGBD,F#,Major,4324,2,Comfortable,Downramp Starting on 4,No
gDGBD,Gb,Major,4324,2,Comfortable,Downramp Starting on 4,No
gDGBD,G,Major,0000,1,Automatic,Open,Yes
gDGBD,G#,Major,5435,2,Comfortable,Downramp,Yes
gDGBD,Ab,minor,,,,,
gDGBD,A,minor,2212,1,Automatic,,Yes
gDGBD,A#,minor,,,,,
gDGBD,Bb,minor,,,,,
gDGBD,B,minor,4400,1,Automatic,,Yes
gDGBD,C,minor,,,,,
gDGBD,C#,minor,,,,,
gDGBD,Db,minor,,,,,
gDGBD,D,minor,,,,,
gDGBD,D#,minor,,,,,
gDGBD,Eb,minor,,,,,
gDGBD,E,minor,2002,1,Automatic,,Yes
gDGBD,F,minor,,,,,
gDGBD,F#,minor,,,,,
gDGBD,Gb,minor,,,,,
gDGBD,G,minor,,,,,
gDGBD,G#,minor,,,,,
gDGBD,Ab,Dom 7,,,,,
gDGBD,A,Dom 7,,,,,
gDGBD,A#,Dom 7,,,,,
gDGBD,Bb,Dom 7,,,,,
gDGBD,B,Dom 7,,,,,
gDGBD,C,Dom 7,,,,,
gDGBD,C#,Dom 7,,,,,
gDGBD,Db,Dom 7,,,,,
gDGBD,D,Dom 7,,,,,
gDGBD,D#,Dom 7,,,,,
gDGBD,Eb,Dom 7,,,,,
gDGBD,E,Dom 7,,,,,
gDGBD,F,Dom 7,,,,,
gDGBD,F#,Dom 7,,,,,
gDGBD,Gb,Dom 7,,,,,
gDGBD,G,Dom 7,,,,,
gDGBD,G#,Dom 7,,,,,
gDGBD,Ab,Maj 7,,,,,
gDGBD,A,Maj 7,,,,,
gDGBD,A#,Maj 7,,,,,
gDGBD,Bb,Maj 7,,,,,
gDGBD,B,Maj 7,,,,,
gDGBD,C,Maj 7,,,,,
gDGBD,C#,Maj 7,,,,,
gDGBD,Db,Maj 7,,,,,
gDGBD,D,Maj 7,,,,,
gDGBD,D#,Maj 7,,,,,
gDGBD,Eb,Maj 7,,,,,
gDGBD,E,Maj 7,,,,,
gDGBD,F,Maj 7,,,,,
gDGBD,F#,Maj 7,,,,,
gDGBD,Gb,Maj 7,,,,,
gDGBD,G,Maj 7,,,,,
gDGBD,G#,Maj 7,,,,,
gDGBD,Ab,min 7,,,,,
gDGBD,A,min 7,,,,,
gDGBD,A#,min 7,,,,,
gDGBD,Bb,min 7,,,,,
gDGBD,B,min 7,,,,,
gDGBD,C,min 7,,,,,
gDGBD,C#,min 7,,,,,
gDGBD,Db,min 7,,,,,
gDGBD,D,min 7,,,,,
gDGBD,D#,min 7,,,,,
gDGBD,Eb,min 7,,,,,
gDGBD,E,min 7,,,,,
gDGBD,F,min 7,,,,,
gDGBD,F#,min 7,,,,,
gDGBD,Gb,min 7,,,,,
gDGBD,G,min 7,,,,,
gDGBD,G#,min 7,,,,,
gDGBD,A,aug,,,,,
gDGBD,A#,aug,,,,,
gDGBD,Bb,aug,,,,,
gDGBD,B,aug,,,,,
gDGBD,C,aug,,,,,
gDGBD,C#,aug,,,,,
gDGBD,Db,aug,,,,,
gDGBD,D,aug,,,,,
gDGBD,D#,aug,,,,,
gDGBD,Eb,aug,,,,,
gDGBD,E,aug,,,,,
gDGBD,F,aug,,,,,
gDGBD,F#,aug,,,,,
gDGBD,Gb,aug,,,,,
gDGBD,G,aug,,,,,
gDGBD,G#,aug,,,,,
gDGBD,A,dim,,,,,
gDGBD,A#,dim,,,,,
gDGBD,Bb,dim,,,,,
gDGBD,B,dim,,,,,
gDGBD,C,dim,,,,,
gDGBD,C#,dim,,,,,
gDGBD,Db,dim,,,,,
gDGBD,D,dim,,,,,
gDGBD,D#,dim,,,,,
gDGBD,Eb,dim,,,,,
gDGBD,E,dim,,,,,
gDGBD,F,dim,,,,,
gDGBD,F#,dim,,,,,
gDGBD,Gb,dim,,,,,
gDGBD,G,dim,,,,,
gDGBD,G#,dim,,,,,
gDGBD,A,sus2,,,,,
gDGBD,A#,sus2,,,,,
gDGBD,Bb,sus2,,,,,
gDGBD,B,sus2,,,,,
gDGBD,C,sus2,,,,,
gDGBD,C#,sus2,,,,,
gDGBD,Db,sus2,,,,,
gDGBD,D,sus2,,,,,
gDGBD,D#,sus2,,,,,
gDGBD,Eb,sus2,,,,,
gDGBD,E,sus2,,,,,
gDGBD,F,sus2,,,,,
gDGBD,F#,sus2,,,,,
gDGBD,Gb,sus2,,,,,
gDGBD,G,sus2,,,,,
gDGBD,G#,sus2,,,,,
gDGBD,A,sus4,,,,,
gDGBD,A#,sus4,,,,,
gDGBD,Bb,sus4,,,,,
gDGBD,B,sus4,,,,,
gDGBD,C,sus4,,,,,
gDGBD,C#,sus4,,,,,
gDGBD,Db,sus4,,,,,
gDGBD,D,sus4,,,,,
gDGBD,D#,sus4,,,,,
gDGBD,Eb,sus4,,,,,
gDGBD,E,sus4,,,,,
gDGBD,F,sus4,,,,,
gDGBD,F#,sus4,,,,,
gDGBD,Gb,sus4,,,,,
gDGBD,G,sus4,,,,,
gDGBD,G#,sus4,,,,,
gDGBD,A,5 (no 3rd),,,,,
gDGBD,A#,5 (no 3rd),,,,,
gDGBD,Bb,5 (no 3rd),,,,,
gDGBD,B,5 (no 3rd),,,,,
gDGBD,C,5 (no 3rd),,,,,
gDGBD,C#,5 (no 3rd),,,,,
gDGBD,Db,5 (no 3rd),,,,,
gDGBD,D,5 (no 3rd),,,,,
gDGBD,D#,5 (no 3rd),,,,,
gDGBD,Eb,5 (no 3rd),,,,,
gDGBD,E,5 (no 3rd),,,,,
gDGBD,F,5 (no 3rd),,,,,
gDGBD,F#,5 (no 3rd),,,,,
gDGBD,Gb,5 (no 3rd),,,,,
gDGBD,G,5 (no 3rd),,,,,
gDGBD,G#,5 (no 3rd),,,,,
