Tuning,Root,Quality,Shape,Source,Comfort Code,Comfort Code Explanation,Comments,Verified
gDGBD,Ab,Major,1-1-1-1,Candidate,,,,No
gDGBD,Ab,Major,5-4-3-5,Candidate,,,,No
gDGBD,Ab,Major,8-7-6-8,Candidate,,,,No

gDGBD,A,Major,2-2-2-2,Candidate,,,,No
gDGBD,A,Major,7-6-5-7,Candidate,,,,No
gDGBD,A,Major,9-9-9-9,Candidate,,,,No

gDGBD,A#,Major,2-2-2-0,Candidate,,,,No
gDGBD,A#,Major,3-3-3-3,Candidate,,,,No
gDGBD,A#,Major,8-7-7-8,Candidate,,,,No

gDGBD,Bb,Major,2-2-2-0,Candidate,,,,No
gDGBD,Bb,Major,3-3-3-3,Candidate,,,,No
gDGBD,Bb,Major,8-7-7-8,Candidate,,,,No

gDGBD,B,Major,4-4-4-4,Candidate,,,,No
gDGBD,B,Major,8-7-7-7,Candidate,,,,No
gDGBD,B,Major,9-9-9-9,Candidate,,,,No

gDGBD,C,Major,2-0-1-2,Candidate,,,,No
gDGBD,C,Major,5-5-5-5,Candidate,,,,No
gDGBD,C,Major,9-7-8-9,Candidate,,,,No

gDGBD,C#,Major,3-2-1-3,Candidate,,,,No
gDGBD,C#,Major,6-6-6-6,Candidate,,,,No
gDGBD,C#,Major,9-9-9-10,Candidate,,,,No

gDGBD,Db,Major,3-2-1-3,Candidate,,,,No
gDGBD,Db,Major,6-6-6-6,Candidate,,,,No
gDGBD,Db,Major,9-9-9-10,Candidate,,,,No

gDGBD,D,Major,0-2-3-4,Candidate,,,,No
gDGBD,D,Major,4-2-3-4,Candidate,,,,No
gDGBD,D,Major,7-7-7-7,Candidate,,,,No

gDGBD,D#,Major,5-3-4-5,Candidate,,,,No
gDGBD,D#,Major,8-7-7-8,Candidate,,,,No
gDGBD,D#,Major,10-9-9-10,Candidate,,,,No

gDGBD,Eb,Major,5-3-4-5,Candidate,,,,No
gDGBD,Eb,Major,8-7-7-8,Candidate,,,,No
gDGBD,Eb,Major,10-9-9-10,Candidate,,,,No

gDGBD,E,Major,2-1-0-2,Candidate,,,,No
gDGBD,E,Major,4-4-4-4,Candidate,,,,No
gDGBD,E,Major,9-9-9-9,Candidate,,,,No

gDGBD,F,Major,3-2-1-3,Candidate,,,,No
gDGBD,F,Major,7-5-6-7,Candidate,,,,No
gDGBD,F,Major,10-10-10-10,Candidate,,,,No

gDGBD,F#,Major,4-3-2-4,Candidate,,,,No
gDGBD,F#,Major,8-7-6-8,Candidate,,,,No
gDGBD,F#,Major,11-11-11-11,Candidate,,,,No

gDGBD,Gb,Major,4-3-2-4,Candidate,,,,No
gDGBD,Gb,Major,8-7-6-8,Candidate,,,,No
gDGBD,Gb,Major,11-11-11-11,Candidate,,,,No

gDGBD,G,Major,0-0-0-0,Candidate,,,,No
gDGBD,G,Major,5-4-3-5,Candidate,,,,No
gDGBD,G,Major,9-7-8-9,Candidate,,,,No

gDGBD,G#,Major,5-4-3-5,Candidate,,,,No
gDGBD,G#,Major,6-5-4-6,Candidate,,,,No
gDGBD,G#,Major,10-9-10-10,Candidate,,,,No
